bnf_code,bnf_name,items
21020000325,Smooth Nelaton catheter paediatric 6Ch-10Ch,40
23300263317,Suportx breathable tube ostomy belt XX large 20cm skin,45
0105010E0BCABAB,Sulazine EC 500mg tablets (Genesis Pharm),220
190205500BCPAA0,Tena 3 in 1 wash cream,466
0902011P0BBAAAA,Resonium A powder,115
0209000C0AAADAD,Clopidogrel 25mg/5ml oral suspension,118
23944109564,Harmony Duo two piece ostomy system standard convex wafer with Flexifit 13-25mm,91
23354103809,"Confidence Natural Advance colostomy bag with filter and overlap, standard 38mm",44
0106020B0AAABAB,Co-danthramer 75mg/1000mg/5ml oral suspension sugar free,119
20030100644,365 Non Woven Island dressing 10cm x 10cm,272
23300263310,Suportx breathable tube ostomy belt XX large 20cm black,31
0402030K0BBAAAC,Camcolit 250 tablets,35
090401000BBVQA0,Phlexy-10 drink mix 20g sachets citrus burst,32
090401010BJAFAA,Promin low protein soup + croutons oral pdr 23g pea & mint,80
21270001010,Sigvaris MTM Essential Comfortable class 2 (23-32mmHg) below knee closed toe with grip top,46
21270002842,Juzo Classic class 2 (23-32mmHg) seamless armsleeve with grip top,133
23300703001,Dansac ostomy belt and plate pack,53
23941009605,"Assura Inspire two piece ostomy system colostomy bag with filter, midi 40mm",43
23941009344,SenSura Click Multichamber two piece ostomy system urostomy bag maxi soft cover 40mm,101
23354103890,"Confidence BE soft convex colostomy bag with filter and overlap, mini 13mm-25mm white",51
23804808013,Sensi-Care Sting Free barrier spray,1020
20030900363,CovaWound Silicone Foam Lite dressing 7.5cm x 7.5cm,37
0502010D0AAABAB,Voriconazole 50mg tablets,33
23605606240,"Welland Curvex ileostomy bag with Dual Carb filter, maxi 43mm plateau starter hole beige",33
0408010AEAAANAN,Pregabalin 20mg/ml oral solution sugar free,19502
0905011D0BHAAAK,Adcal 1500mg chewable tablets,115760
23154101508,Salts adhesive remover spray,103050
0410020B0BBBABZ,Nicorette 15mg Inhalator,17823
0302000N0BIAABF,Sereflo 25micrograms/dose / 125micrograms/dose inhaler,121062
21020001155,VaPro hydrophilic catheter male 8Ch-16Ch,26294
21010900700,GlucoRx CarePoint hypod insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge,85405
0409020C0AAADAD,Trihexyphenidyl 2mg tablets,78601
0206010K0AAATAT,Isosorbide mononitrate 25mg modified-release tablets,48306
040201060AAABAB,Olanzapine 7.5mg tablets,145822
1001010X0AAAAAA,Nabumetone 500mg tablets,17991
0906040G0DPABCS,ColeKal-D3 800unit tablets,900
0403040F0BBABAB,Fluanxol 1mg tablets,5149
0402010ABAAAVAV,Quetiapine 50mg modified-release tablets,65508
0407020AGAAADAD,Tapentadol 100mg modified-release tablets,38052
090402000BBZZA0,Aymes Shake Compact powder 57g sachets strawberry,14134
0602010M0AAAAAA,Liothyronine 20microgram tablets,42967
1302011L0BKAFAI,Oilatum Junior bath additive,86345
0905013G0AADEDE,Magnesium glycerophos (magnesium 97.2mg (4mmol)) chew tab SF,10023
1106000AKAAAAAA,Tafluprost 15micrograms/ml eye dps 0.3ml ud preserv free,41017
1310012K0AAARAR,Metronidazole 0.75% gel,91747
0803042N0AAADAD,Leuprorelin 11.25mg inj pre-filled syringes,46228
1108010N0AAACAC,Simple eye ointment,20283
0304010A0AAAAAA,Acrivastine 8mg capsules,42123
0203020F0AAABAB,Disopyramide 100mg capsules,9870
0702020P0BBAAAB,Gyno-Daktarin 2% vaginal cream,4179
0602010V0AAGAGA,Levothyroxine sodium 50micrograms/5ml soln sugar free,29813
0208010D0BBABAB,Clexane 40mg/0.4ml inj pre-filled syringes,17360
0404000M0BIAAAM,Xenidate XL 18mg tablets,18025
0407020ADBLAEAH,Oxeltra 40mg modified-release tablets,9312
0408020V0BCABAS,Epistatus 10mg/1ml oromucosal soln pre-filled oral syringes,4542
0106020C0AAAFAF,Bisacodyl 2.74mg/ml rectal solution,5354
21020001413,LINC all silicone catheter with integral balloon and water filled syringe standard 16Ch,933
20030100382,Tegaderm + Pad dressing 9cm x 15cm,1497
23350703855,"NovaLife TRE 1 colostomy bag with viewing option, midi 35-55/70mm",275
0904010H0BDAFAA,Juvela gluten free loaf unsliced,1427
22606156002,Ugo 11 sterile drainable night drainage bag,3332
21270002627,Sigvaris CompreFLEX (20-50mmHg) standard calf,1908
20020200823,K-Lite bandage 15cm x 4.5m,5322
21020000583,Biocath hydrogel coated catheter female 12Ch-22Ch,1177
0408010G0AAAPAP,Gabapentin 300mg/5ml oral liquid,229
0304010Y0AAACAC,Alimemazine 30mg/5ml oral solution,4851
1001010T0AAACAC,Tiaprofenic acid 300mg tablets,715
22302083017,GB Libra latex free sheath wide band 33mm,754
20090001264,Skinnies AM legs 5-8 years,152
23453374525,Neutralise Clean Fresh Gardenia Drops,2766
21010900571,OneTouch Comfort lancets 0.2mm/33gauge,1013
20030500110,Iodosorb powder dressing sachets,960
22502085007,Libra sterile leg bag long tube 1 litre,1584
1203040E0BBAIAB,Corsodyl 0.2% mouthwash alcohol free,15334
0409010N0AAAVAV,Co-careldopa 12.5mg/50mg/5ml oral suspension,331
23941009384,SenSura Mio Click two piece ostomy system baseplate 10-35mm,859
0503021A0BBAAAA,Valtrex 500mg tablets,2045
23050600508,Shelter Safe-Seal ostomy plaster,1316
23300263245,Suportx Easy Peel breathable ostomy belt medium 26cm black,55
0906040G0BWALBI,SunVit-D3 400unit capsules,3185
20090000500,Tubifast 2-way stretch stockinette 3.5cm,627
0103050L0AAAXAX,Lansoprazole 15mg/5ml oral suspension,3128
0603020M0BCABAE,Solu-Cortef 100mg powder for solution for injection vials,1248
20032100025,V.A.C. GranuFoam dressing kit medium,339
20020201080,UrgoKTwo multi-layer compression bandage kit size 0 short 18cm-25cm ankle circumference,112
0109010U0BCABBE,Ursofalk 250mg/5ml oral suspension,549
21270001518,Mediven harmony class 1 (15-21mmHg) combined armsleeve with grip top,772
21230000124,Balance Activ Moisture Plus Pessaries,369
23601006304,"Assura Inspire ileostomy bag with dual filter and Hide-Away outlet, maxi transparent",186
23354103764,"Confidence Supersoft convex colostomy bag with filter, standard 25mm",74
0403030P0BBACAG,Seroxat 20mg/10ml liquid,313
23604106540,"Confidence BE soft convex ileostomy bag with filter, large 13mm-52mm stone",162
0205052Y0AAACAC,Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tab,4360
20030100672,365 Transparent Island dressing 8.5cm x 9.5cm,138
1902070E0AAABAB,Activated charcoal 300mg tablets,1148
0205040D0BDADAQ,Doxadura XL 4mg tablets,533
23605606260,"Welland FreeStyle Vie ileostomy bag with Dual Carb filter, medium 38mm",38
0103050L0AAAMAM,Lansoprazole 15mg/5ml oral solution,437
0206010K0CCAAAE,Monosorb XL 60 tablets (Dexcel-Pharma),441
21270002123,Juzo Expert Strong anatomically flexed knee for lymphoedema garment,45
23351003590,"Assura colostomy bag with filter, midi opaque 20mm",121
091101000BBUTFI,L-Arginine powder (Nutricia),27
20031700186,Durafiber Ag dressing 15cm x 15cm square,785
22506055015,Qufora sterile leg bag with T tap short tube 500ml,176
20050200110,Sofshield laryngectomy protector small white,309
0302000N0BNABAY,Fixkoh Airmaster 50microg/dose / 250microg/dose dry pdr inh,141
23940709839,NovaLife TRE 2 two piece ostomy system wafer 15mm-35mm,85
23941010062,SenSura Mio Click two piece ostomy system deep convex baseplate 50mm 21mm,24
22500505051,Spirit sterile leg bag 10cm short tube 350ml,234
0801030P0BEACFG,Zlatal 25mg/1ml solution for injection pre-filled syringes,205
0407010X0BVAAAT,Panadol NightPain tablets,26
0409010ACAAAAAA,Apomorphine 30mg/3ml solution for injection cartridges,41
0403040Y0BCAAAB,Duciltia 60mg gastro-resistant capsules,244
20200000270,Skinnies Silk gloves medium adult,89
23605906093,"Pelican ModaVi ileostomy bag with filter, large 12-65mm neutral",245
20030400031,Tegaderm Hydrocolloid dressing 13cm x 15cm oval,238
20090001007,Skinnies Viscose stockinette gloves large child,196
23604106449,"Confidence Supersoft convex ileostomy bag with filter, large 13-38mm",158
21270002146,Sigvaris MTM Optiform Flex knee functional zone for lymphoedema garment,65
1107000C0AAADAD,Tetracaine 0.5% eye drops 0.5ml unit dose preservative free,58
0101010I0AAALAL,Magnesium oxide 160mg tablets,168
23301023010,Comfizz Level I waistband extra large/XX large neutral,26
23300263403,Suportx Easy Peel ostomy belt with hole large 20cm skin,75
0803043N0BBAEAE,Sandostatin LAR 10mg inj vials,163
0409030R0BCAAAD,Teglutik 5mg/1ml oral suspension,200
0403040W0BMAAAD,Politid XL 75mg capsules,224
23605906041,"Ileomate soft convex ileostomy bag with filter and split cover, large 28mm transparent",26
20031700228,Exufiber dressing 20cm x 30cm rectangular,406
22606156011,CliniSure single use non-sterile drainable night drainage bag with T tap,127
0409030R0BBAAAA,Rilutek 50mg tablets,99
0402010C0AAADAD,Clozapine 200mg tablets,130
21070630171,medi Arm Butler compression hosiery applicator,183
23600106211,"Moderma Flex ileostomy bag with filter and Lock 'n' Roll closure, maxi 15-55mm transparent",1195
0504010N0AAAAAA,Pyrimethamine 25mg tablets,170
21020001063,Flocath Quick catheter female with 0.9% sterile saline solution 16Ch-20Ch,47
0604030Q0BBAAAA,DHEA 25mg capsules,60
21012600107,Insupen Original hypodermic insulin needles for pf / reusable pen injectors screw on 6mm/31 gauge,2001
0307000C0AAAQAQ,Acetylcysteine 200mg oral powder sachets sugar free,279
22900609030,Acti-Brief Plus urinal system with briefs 30mm,202
21270000236,Mediven Plus class 3 (34-46mmHg) thigh length open toe with silicone top band petite,156
20020201151,Rosidal Soft bandage 10cm x 2.5m,114
22706307009,Drainage bag 600ml,63
23600106335,"Moderma Flex convex ileostomy bag + filter, CeraPlus skin barrier & Lock 'n' Roll closure, midi 35mm",47
22902199042,Afex Core Supporter male urinal system with medium briefs,36
23300000091,Suportx shield ostomy belt with Easy Peel fastening made to measure black,145
090607000BBLFBB,EN-Multivit tablets,82
1404000AFAAAAAA,Hib/Meningococcal C conj vacc inj 0.5ml vials,42
22302953017,Comfort sheath extra thin large 35mm,38
0106020M0BBABAE,Senokot 7.5mg/5ml syrup,82
21270000808,ActiLymph MTM Ease Slipform for lymphoedema garment,30
21012200103,Comfasure catheter retainer strap abdominal,104
23354803627,"Esteem+ colostomy bag with filter, standard 50mm opaque",59
21220000311,Diprobase cream,287281
1404000H0AAANAN,"Adjuvanted quadrivalent flu vacc (SA, inact) inj 0.5ml pfs",36906
23150901507,CliniPeel No Sting medical adhesive remover,27492
0801030L0BCABAQ,Xaluprine 20mg/ml oral suspension,42
20200000264,Skinnies Silk baby grow 3-6 months,26
0208010L0BBAAAC,"Fragmin 10,000units/1ml solution for injection ampoules",29
0906027G0BMAAAA,B-CoVita Compound tablets,28
040801060AABNBN,Clobazam 2mg/5ml oral liquid,52
0301040W0BBAAAA,Anoro Ellipta 55microg/dose / 22microg/dose dry pdr inh,879521
0408010H0AAAAAA,Lamotrigine 100mg tablets,1066615
0208020V0AAAAAA,Warfarin 1mg tablets,1815388
0302000V0BBAAAA,Relvar Ellipta 184microg/dose / 22microg/dose dry pdr inh,326061
22502655006,LINC-Flo sterile leg bag with T tap 30cm inlet 500ml,7514
130201000BBKFA0,Dermol cream,418540
1104020T0BBAEAA,Opticrom Allergy 2% eye drops,54403
0106040M0BBAGAH,Movicol Liquid,14750
091200000BFXGFT,Sanatogen Complete A-Z tablets,107629
0401010T0AAANAN,Temazepam 20mg tablets,185730
1304000H0BCABCA,Trimovate cream,222941
0901020D0BLAAAF,Orobalin 1mg tablets,9718
20031600043,Urgotul dressing 5cm x 5cm,6773
1106000AHAAAAAA,Travoprost 40micrograms/ml / Timolol 5mg/ml eye drops,108969
21300000180,Cellusan Light 0.5% eye drops preservative free,19208
0604020U0BBABAA,Sustanon 250mg/1ml solution for injection ampoules,52292
0302000N0BLAABE,Combisal 25micrograms/dose / 50micrograms/dose inhaler,34663
23851008516,Brava protective seal 18-48mm 2.5mm,10095
0604011G0BEABBD,Zumenon 1mg tablets,30248
0204000T0AAAEAE,Sotalol 160mg tablets,11031
21130000100,OptiFlo G citric acid 3.23% catheter maintenance solution,39298
21010900450,Hypodermic U100 ins syringe sterile single use / single patient use 1ml + 8mm needle 0.3mm/30gauge,4355
20050300407,Provox skin barrier wipes,5599
23150701504,Dansac non-sting adhesive remover sachets,5610
1106000AKAAABAB,Tafluprost 15micrograms/ml eye drops,2141
1306010F0AAABAB,Clindamycin 1% aqueous lotion,33824
1104020AEAAAAAA,Ciclosporin 0.1% eye drops 0.3ml unit dose,28663
0601023R0AAAAAA,Repaglinide 500microgram tablets,13153
1305020C0BRAACX,Exorex lotion,34754
0407020A0AAAEAE,Fentanyl 25micrograms/hour transdermal patches,46107
0409030R0AAAAAA,Riluzole 50mg tablets,17903
1304000N0BBAAAB,Synalar 0.025% cream,5739
0704050B0AABDBD,Alprostadil 40microgram inj vials,1205
0604011J0BBAAAA,Trisequens tablets,5996
090402000BBCDA0,Aptamil Pepti-Junior powder,5727
0403040W0AAAXAX,Venlafaxine 75mg/5ml oral solution sugar free,555
0304010ABAAADAD,Desloratadine 2.5mg/5ml oral solution sugar free,11142
0402010J0AABCBC,Haloperidol 5mg/5ml oral solution sugar free,14860
0105010B0AAAZAZ,Mesalazine 3g gast res MR gran sachets sugar free,4614
23940459621,Biotrol Softima Key two piece ostomy system colostomy bag with filter beige 50mm,740
0407020AGBBAAAA,Palexia 50mg tablets,711
0402030Q0BCABAB,Belvo 500mg gastro-resistant tablets,4986
1203050P0AAABAB,Pilocarpine 5mg tablets,16013
21130000118,Uro-Tainer Twin Solutio R citric acid 6% catheter maintenance solution,4774
0409010Z0AAACAC,Rotigotine 6mg/24hours transdermal patches,19296
0601023APAAABAB,Canagliflozin 50mg / Metformin 1g tablets,11696
190205500BCKHA0,Bio-Oil liquid,3306
23940109777,Conform 2 two piece ostomy system urostomy bag with soft tap 55mm transparent,2661
0301011R0AABBBB,Salbutamol 5mg/ml nebuliser liquid,2894
1001030U0BEAQBV,Metoject PEN 17.5mg/0.35ml inj pre-filled pens,11920
1304000N0AAABAB,Fluocinolone acetonide 0.025% cream,4073
0407020B0BGABAF,Hapoctasin 52.5micrograms/hour transdermal patches,1834
1310030C0BBAAAA,Zovirax 5% cream,2736
20020201115,Coban 2 Comfort Foam Layer bandage 15cm x 3.5m,380
0401010ADAABSBS,Melatonin 5mg capsules,6279
0106010N0BBABAD,Normacol granules 7g sachets,6493
0403030L0AAAAAA,Fluvoxamine 50mg tablets,10522
23960109797,Moderma Flex convex urostomy bag with Flextend barrier and adhesive border 15-25mm transparent,772
091000000BBXBA0,DEKAs Plus chewable tablets,1168
20050600095,Freevent DualCare HME filter cassette,1016
23941010007,"SenSura Mio Click two piece ostomy system ileostomy bag with filter, maxi 50mm grey",3089
23960109682,Impression urostomy bag 32mm,63
20020201045,K-Four multi-layer compression bandage kit 18cm-25cm ankle circumference,501
0104020P0BBAAAA,Imodium Plus caplets,698
0803043N0AAABAB,Octreotide 100micrograms/1ml solution for injection ampoules,669
0801030P0BFACFP,Nordimet 12.5mg/0.5ml solution for injection pre-filled pens,1094
1304000V0CRAACH,Daktacort Hydrocortisone cream,2046
23960109810,Moderma Flex SoftFlex convex urostomy bag 15-38mm beige,120
23940109776,Conform 2 two piece ostomy system urostomy bag with soft tap 45mm transparent,343
0406000R0AAAAAA,Nabilone 1mg capsules,295
1003020M0AAAAAA,Felbinac 3% gel,360
1103010AIAAAAAA,Azithromycin 15mg/g eye dps 0.25g ud preservative free,907
0906040G0CHAHDZ,"Aciferol D3 30,000unit capsules",136
20030900342,Mepilex dressing 20cm x 21cm,403
23941009301,"SenSura Flex two piece ostomy system ileostomy bag with dual filter and Hide-Away outlet, mini 35mm",96
0109010U0BBAAAA,Destolit 150mg tablets,576
0206010F0BKAABH,Transiderm-Nitro 5 transdermal patches,800
23353353693,"Option hydrocolloid low profile soft convex colostomy bag with filter, plus 28mm plateau 20-28mm",71
1302011M0AAAGAG,Liquid paraffin 65% / Acetylated wool alcohols 5% bath oil,649
20030900284,kliniderm Foam Silicone Lite dressing 15cm x 15cm,104
21270002698,Juzo Adventure class 1 (18-21mmHg) below knee closed toe,113
21010900789,Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge,2881
0902012L0AADFDF,Sodium chloride 1.5g/5ml (5.13mmol/ml) oral solution,457
1302010U0AAAWAW,Urea 5% scalp application,603
0402020ABBCACAH,Trevicta 350mg/1.75ml prolonged-release inj pf syringes,125
20090000550,Elasticated tubular bandage BP 4.5cm size A,181
23940709666,Nova 2 EasiFold two piece ostomy system ileostomy bag opaque 36mm,132
0106020C0AAAVAV,Bisacodyl 2.5mg/5ml oral suspension,600
23350703761,NovaLife 1 colostomy bag midi clear 25-55/70mm,164
040801060AABABA,Clobazam 2.5mg/5ml oral liquid,55
20100000722,OpSite Flexifix Gentle tape 5cm,66
0106010H0BBAAAC,Celevac 500mg tablets,127
1108010AAAAACAC,Ciclosporin 0.2% eye ointment,536
23600706409,NovaLife 1 ileostomy bag maxi clear 10-70/90mm,1175
0601023AABBAAAA,Galvus 50mg tablets,466
0402010I0AAABAB,Fluphenazine 1mg tablets,60
20033000052,Pico 14 dressing kit 15cm x 20cm,46
23301083165,Fulcionel ostomy/hernia support belt with adjustable opening medium left 20cm,70
21011200434,"Milex ring pessary size 7, 89mm diameter, silicone with support/folding",123
23350103762,"Moderma Flex colostomy bag with filter and QuietWear film, midi 25mm beige",190
22900609033,Acti-Brief Plus urinal system with briefs 40mm,95
20030900059,Mepilex Ag dressing 20cm x 20cm,266
0406000S0BBAJAJ,Zofran Melt 8mg oral lyophilisates,219
23601006347,"SenSura Soft Seal convex ileostomy bag with dual filter and Hide-Away outlet, maxi 28mm",134
0603020J0BEAACV,Plenadren 5mg modified-release tablets,448
0901012K0AAAAAA,Iron dextran 100mg/2ml solution for injection ampoules,205
23960109702,Impression C urostomy bag 19mm,153
21270002662,Haddenham Doktus MTO class 2 (23-32mmHg) tights closed toe,35
1001010K0AABBBB,Indometacin 25mg/5ml oral suspension,578
23940109744,"Conform 2 two piece ostomy system colostomy bag with filter and QuietWear film, midi 45mm",232
0205040D0BDAAAA,Doxadura 1mg tablets,77
0310000E0AAAAAA,Ephedrine hydrochloride 15mg / Chlorphenamine 10mg tablets,48
0103010T0AAACAC,Ranitidine 300mg tablets,2306
23605606315,Welland Aura convex ileostomy bag mini 25mm,84
23353353755,"Option Primo colostomy bag with filter and soft covering to one side, maxi",24
20030100431,PremierPore VP dressing 5cm x 7cm,44
23301083092,Cuiwear female high waist support briefs small/medium black,40
21270000725,Venosan 7000 class 3 (7003) (34-46mmHg) below knee closed toe,37
20031700074,Aquacel Extra dressing 4cm x 30cm rectangular,178
090401000BBTRA0,PKU Air15 green liquid,30
22606156008,Ugo 4weeks 4C kit,83
23301083108,Cuiwear unisex support boxers medium/large black,34
23963459634,"Pelican Platinum Contour convex urostomy bag with bung, standard 15-60mm clear",68
0307000C0AAASAS,Acetylcysteine 200mg oral powder sachets,53
0703023L0AAACAC,Levonorgestrel 19.5mg intrauterine device,62
0208010ABAAABAB,Fondaparinux sodium 5mg/0.4ml inj pre-filled syringes,82
20030100353,Eclypse Adherent dressing 17cm x 19cm sacral,44
0410030A0AAAUAU,Buprenorphine 128mg/0.36ml prolonged-release inj pfs,57
21070630166,Compressana Easy compression hosiery applicator,52
0208020Y0BBAEAE,Xarelto 15mg / 20mg treatment initiation pack,54
0503040B0BBACAC,Tamiflu 30mg capsules,34
23305951112,Vanilla Blush Coresitwell hernia support belt small VBCSW1 black,26
1108020AHBBABAB,Minims povidone iodine 5% eye drops 0.4ml unit dose,35
0402010ABAAADAD,Quetiapine 200mg tablets,460011
0408010A0AAAAAA,Levetiracetam 250mg tablets,700000
1001010AAAAAAAA,Meloxicam 7.5mg tablets,192474
0407020G0AAADAD,Dihydrocodeine 60mg modified-release tablets,117176
0901020D0BKACAE,CyanocoB12 50microgram tablets,12352
0906040G0CVAADR,"OsteoCaps D3 20,000unit capsules",16807
0601023AQBBAAAA,Trulicity 0.75mg/0.5ml inj pre-filled pens,96557
0407020ADBLAAAK,Oxeltra 5mg modified-release tablets,21739
21010900805,GlucoRx FinePoint hypod insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge,62448
0803042K0BBAAAA,Zoladex 3.6mg implant SafeSystem pre-filled syringes,71449
21300000121,Lumecare Tear Drops 0.3% eye drops,11538
0206020R0AAARAR,Nifedipine 20mg modified-release tablets,78962
1404000H0CCAAAN,Fluad Tetra vaccine inj 0.5ml pre-filled syringes,4905354
1104020Z0AAAAAA,Olopatadine 1mg/ml eye drops,166292
21300000190,Thealoz Duo Gel eye gel 0.4g unit dose preservative free,37881
21010900768,Apollo twist lancets 0.36mm/28gauge,7564
0901020D0BKABAF,CyanocoB12 1mg tablets,1773
0604011L0BIAAAK,Kliofem tablets,151910
0403040W0BLAAAD,Venaxx XL 75mg capsules,4509
21160000090,Normasol sodium chloride 0.9% irrigation solution 25ml sachets,22078
0407041A0BIAAAJ,MigraMax oral powder sachets,4422
